material,LCstage,disposition,impactCategory,impactUnits,impactFactor
Yard Debris,Production,Production,"Resources, Fossil fuels",MJ surplus energy,990.3717394
Yard Debris,Production,Production,Smog Air,kg O3 eq.,85.90103898
Yard Debris,Production,Production,Total freshwater consumption (including rainwater),kg,133979.8789
Plastic Film,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Plastic Film,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Plastic Film,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Plastic Film,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Plastic Film,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Plastic Film,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Plastic Film,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Plastic Film,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Plastic Film,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Plastic Film,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Plastic Film,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Plastic Film,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Plastic Film,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Plastic Film,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Plastic Film,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Plastic Film,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Plastic Film,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Plastic Film,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Plastic Film,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Plastic Film,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Plastic Film,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Plastic Film,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Plastic Film,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Plastic Film,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Plastic Film,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-2087.587169
Plastic Film,EOL,Recycling,Acidification,kg SO2 eq.,-0.844900569
Plastic Film,EOL,Recycling,Ecotoxicity (recommended),CTUe,-73.75666764
Plastic Film,EOL,Recycling,Eutrophication,kg N eq.,-0.07082138
Plastic Film,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-150.0946511
Plastic Film,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-4.117517809
Plastic Film,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.09E-07
Plastic Film,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,0.000109384
Plastic Film,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,-9.63E-07
Plastic Film,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-137.0894116
Plastic Film,EOL,Recycling,Smog Air,kg O3 eq.,-11.43873859
Plastic Film,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-1122.342833
Plastic Film,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,13716.03497
Plastic Film,Production,Production,Acidification,kg SO2 eq.,7.824348614
Plastic Film,Production,Production,Ecotoxicity (recommended),CTUe,3665.256477
Plastic Film,Production,Production,Eutrophication,kg N eq.,1.758919528
Plastic Film,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,891.2260271
Plastic Film,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,1.375933952
Plastic Film,Production,Production,"Human toxicity, cancer (recommended)",CTUh,3.41E-05
Plastic Film,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.000217074
Plastic Film,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,0.000116206
Plastic Film,Production,Production,"Resources, Fossil fuels",MJ surplus energy,1422.528657
Plastic Film,Production,Production,Smog Air,kg O3 eq.,76.14112749
Plastic Film,Production,Production,Total freshwater consumption (including rainwater),kg,6764.870344
Wood Waste,Production,Composting,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-3963.416211
Wood Waste,Production,Composting,Acidification,kg SO2 eq.,0.263085144
Wood Waste,Production,Composting,Ecotoxicity (recommended),CTUe,2135.663861
Wood Waste,Production,Composting,Eutrophication,kg N eq.,0.013730616
Wood Waste,Production,Composting,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,533.7707173
Wood Waste,Production,Composting,Human Health Particulate Air,kg PM2.5 eq.,-0.110306629
Wood Waste,Production,Composting,"Human toxicity, cancer (recommended)",CTUh,6.28E-07
Wood Waste,Production,Composting,"Human toxicity, non-canc. (recommended)",CTUh,0.001769581
Wood Waste,Production,Composting,Ozone Depletion Air,kg CFC 11 eq.,-1.62E-10
Wood Waste,Production,Composting,"Resources, Fossil fuels",MJ surplus energy,-28.96162547
Wood Waste,Production,Composting,Smog Air,kg O3 eq.,-0.809296238
Wood Waste,Production,Composting,Total freshwater consumption (including rainwater),kg,-545.181372
Wood Waste,Production,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,893.2688559
Wood Waste,Production,Combustion,Acidification,kg SO2 eq.,0.537708472
Wood Waste,Production,Combustion,Ecotoxicity (recommended),CTUe,2.033628458
Wood Waste,Production,Combustion,Eutrophication,kg N eq.,0.033586032
Wood Waste,Production,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,630.5859263
Wood Waste,Production,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.037600451
Wood Waste,Production,Combustion,"Human toxicity, cancer (recommended)",CTUh,3.94E-08
Wood Waste,Production,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,3.62E-06
Wood Waste,Production,Combustion,Ozone Depletion Air,kg CFC 11 eq.,4.75E-09
Wood Waste,Production,Combustion,"Resources, Fossil fuels",MJ surplus energy,106.9636355
Wood Waste,Production,Combustion,Smog Air,kg O3 eq.,14.81447201
Wood Waste,Production,Combustion,Total freshwater consumption (including rainwater),kg,2070.575406
Wood Waste,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,358.1466001
Wood Waste,EOL,Landfilling,Acidification,kg SO2 eq.,3.028373323
Wood Waste,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.601142497
Wood Waste,EOL,Landfilling,Eutrophication,kg N eq.,1.583694395
Wood Waste,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,426.5337781
Wood Waste,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.153878115
Wood Waste,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,2.05E-07
Wood Waste,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,2.00E-05
Wood Waste,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,-8.18E-10
Wood Waste,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,62.50044262
Wood Waste,EOL,Landfilling,Smog Air,kg O3 eq.,6.783977384
Wood Waste,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-598.7855038
Wood Waste,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,37482.19494
Wood Waste,Production,Production,Acidification,kg SO2 eq.,15.62044599
Wood Waste,Production,Production,Ecotoxicity (recommended),CTUe,12698.81685
Wood Waste,Production,Production,Eutrophication,kg N eq.,16.37648074
Wood Waste,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,278.5200265
Wood Waste,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,2.645130126
Wood Waste,Production,Production,"Human toxicity, cancer (recommended)",CTUh,5.90E-05
Wood Waste,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,-3.23E-05
Wood Waste,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,8.90E-05
Wood Waste,Production,Production,"Resources, Fossil fuels",MJ surplus energy,990.3717394
Wood Waste,Production,Production,Smog Air,kg O3 eq.,85.90103898
Wood Waste,Production,Production,Total freshwater consumption (including rainwater),kg,133979.8789
Plastic Other,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Plastic Other,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Plastic Other,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Plastic Other,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Plastic Other,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Plastic Other,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Plastic Other,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Plastic Other,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Plastic Other,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Plastic Other,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Plastic Other,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Plastic Other,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Plastic Other,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Plastic Other,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Plastic Other,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Plastic Other,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Plastic Other,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Plastic Other,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Plastic Other,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Plastic Other,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Plastic Other,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Plastic Other,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Plastic Other,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Plastic Other,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Plastic Other,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-2087.587169
Plastic Other,EOL,Recycling,Acidification,kg SO2 eq.,-0.844900569
Plastic Other,EOL,Recycling,Ecotoxicity (recommended),CTUe,-73.75666764
Plastic Other,EOL,Recycling,Eutrophication,kg N eq.,-0.07082138
Plastic Other,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-150.0946511
Plastic Other,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-4.117517809
Plastic Other,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.09E-07
Plastic Other,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,0.000109384
Plastic Other,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,-9.63E-07
Plastic Other,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-137.0894116
Plastic Other,EOL,Recycling,Smog Air,kg O3 eq.,-11.43873859
Plastic Other,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-1122.342833
Plastic Other,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,13716.03497
Plastic Other,Production,Production,Acidification,kg SO2 eq.,7.824348614
Plastic Other,Production,Production,Ecotoxicity (recommended),CTUe,3665.256477
Plastic Other,Production,Production,Eutrophication,kg N eq.,1.758919528
Plastic Other,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,891.2260271
Plastic Other,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,1.375933952
Plastic Other,Production,Production,"Human toxicity, cancer (recommended)",CTUh,3.41E-05
Plastic Other,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.000217074
Plastic Other,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,0.000116206
Plastic Other,Production,Production,"Resources, Fossil fuels",MJ surplus energy,1422.528657
Plastic Other,Production,Production,Smog Air,kg O3 eq.,76.14112749
Plastic Other,Production,Production,Total freshwater consumption (including rainwater),kg,6764.870344
Misc. nonrecyclables,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Misc. nonrecyclables,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Misc. nonrecyclables,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Misc. nonrecyclables,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Misc. nonrecyclables,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Misc. nonrecyclables,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Misc. nonrecyclables,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Misc. nonrecyclables,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Misc. nonrecyclables,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Misc. nonrecyclables,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Misc. nonrecyclables,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Misc. nonrecyclables,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Misc. nonrecyclables,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Misc. nonrecyclables,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Misc. nonrecyclables,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Misc. nonrecyclables,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Misc. nonrecyclables,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Misc. nonrecyclables,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Misc. nonrecyclables,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Misc. nonrecyclables,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Misc. nonrecyclables,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Misc. nonrecyclables,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Misc. nonrecyclables,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Misc. nonrecyclables,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Misc. nonrecyclables,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,13716.03497
Misc. nonrecyclables,Production,Production,Acidification,kg SO2 eq.,7.824348614
Misc. nonrecyclables,Production,Production,Ecotoxicity (recommended),CTUe,3665.256477
Misc. nonrecyclables,Production,Production,Eutrophication,kg N eq.,1.758919528
Misc. nonrecyclables,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,891.2260271
Misc. nonrecyclables,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,1.375933952
Misc. nonrecyclables,Production,Production,"Human toxicity, cancer (recommended)",CTUh,3.41E-05
Misc. nonrecyclables,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.000217074
Misc. nonrecyclables,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,0.000116206
Misc. nonrecyclables,Production,Production,"Resources, Fossil fuels",MJ surplus energy,1422.528657
Misc. nonrecyclables,Production,Production,Smog Air,kg O3 eq.,76.14112749
Misc. nonrecyclables,Production,Production,Total freshwater consumption (including rainwater),kg,6764.870344
Scrap Metal - Other,EOL,Combustion,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,2313.947187
Scrap Metal - Other,EOL,Combustion,Acidification,kg SO2 eq.,0.381104678
Scrap Metal - Other,EOL,Combustion,Ecotoxicity (recommended),CTUe,6.151056699
Scrap Metal - Other,EOL,Combustion,Eutrophication,kg N eq.,0.030589723
Scrap Metal - Other,EOL,Combustion,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,149.3375272
Scrap Metal - Other,EOL,Combustion,Human Health Particulate Air,kg PM2.5 eq.,0.230944121
Scrap Metal - Other,EOL,Combustion,"Human toxicity, cancer (recommended)",CTUh,1.51E-07
Scrap Metal - Other,EOL,Combustion,"Human toxicity, non-canc. (recommended)",CTUh,1.40E-05
Scrap Metal - Other,EOL,Combustion,Ozone Depletion Air,kg CFC 11 eq.,8.78E-09
Scrap Metal - Other,EOL,Combustion,"Resources, Fossil fuels",MJ surplus energy,220.3472392
Scrap Metal - Other,EOL,Combustion,Smog Air,kg O3 eq.,8.79524616
Scrap Metal - Other,EOL,Combustion,Total freshwater consumption (including rainwater),kg,3183.861069
Scrap Metal - Other,EOL,Landfilling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,680.4311394
Scrap Metal - Other,EOL,Landfilling,Acidification,kg SO2 eq.,0.185538123
Scrap Metal - Other,EOL,Landfilling,Ecotoxicity (recommended),CTUe,3.494179452
Scrap Metal - Other,EOL,Landfilling,Eutrophication,kg N eq.,0.009416569
Scrap Metal - Other,EOL,Landfilling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,39.73464826
Scrap Metal - Other,EOL,Landfilling,Human Health Particulate Air,kg PM2.5 eq.,0.133330895
Scrap Metal - Other,EOL,Landfilling,"Human toxicity, cancer (recommended)",CTUh,1.73E-07
Scrap Metal - Other,EOL,Landfilling,"Human toxicity, non-canc. (recommended)",CTUh,1.97E-05
Scrap Metal - Other,EOL,Landfilling,Ozone Depletion Air,kg CFC 11 eq.,6.20E-10
Scrap Metal - Other,EOL,Landfilling,"Resources, Fossil fuels",MJ surplus energy,79.69702569
Scrap Metal - Other,EOL,Landfilling,Smog Air,kg O3 eq.,3.660878546
Scrap Metal - Other,EOL,Landfilling,Total freshwater consumption (including rainwater),kg,-176.3912247
Scrap Metal - Other,EOL,Recycling,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,-30251.28191
Scrap Metal - Other,EOL,Recycling,Acidification,kg SO2 eq.,-16.06463206
Scrap Metal - Other,EOL,Recycling,Ecotoxicity (recommended),CTUe,-12.40291251
Scrap Metal - Other,EOL,Recycling,Eutrophication,kg N eq.,-0.207070163
Scrap Metal - Other,EOL,Recycling,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,-2095.081959
Scrap Metal - Other,EOL,Recycling,Human Health Particulate Air,kg PM2.5 eq.,-2.794975042
Scrap Metal - Other,EOL,Recycling,"Human toxicity, cancer (recommended)",CTUh,-2.23E-05
Scrap Metal - Other,EOL,Recycling,"Human toxicity, non-canc. (recommended)",CTUh,-0.002618533
Scrap Metal - Other,EOL,Recycling,Ozone Depletion Air,kg CFC 11 eq.,2.66E-08
Scrap Metal - Other,EOL,Recycling,"Resources, Fossil fuels",MJ surplus energy,-475.2210651
Scrap Metal - Other,EOL,Recycling,Smog Air,kg O3 eq.,-114.5623099
Scrap Metal - Other,EOL,Recycling,Total freshwater consumption (including rainwater),kg,-72539.70878
Scrap Metal - Other,Production,Production,Primary energy demand from ren. and non ren. resources (net cal. value),MJ,73366.80729
Scrap Metal - Other,Production,Production,Acidification,kg SO2 eq.,25.89418936
Scrap Metal - Other,Production,Production,Ecotoxicity (recommended),CTUe,231.1884931
Scrap Metal - Other,Production,Production,Eutrophication,kg N eq.,0.487520189
Scrap Metal - Other,Production,Production,"Global Warming Air, incl. biogenic carbon",kg CO2 eq.,4652.712986
Scrap Metal - Other,Production,Production,Human Health Particulate Air,kg PM2.5 eq.,4.095062557
Scrap Metal - Other,Production,Production,"Human toxicity, cancer (recommended)",CTUh,2.87E-05
Scrap Metal - Other,Production,Production,"Human toxicity, non-canc. (recommended)",CTUh,0.003453893
Scrap Metal - Other,Production,Production,Ozone Depletion Air,kg CFC 11 eq.,3.54E-07
Scrap Metal - Other,Production,Production,"Resources, Fossil fuels",MJ surplus energy,4435.906905
Scrap Metal - Other,Production,Production,Smog Air,kg O3 eq.,224.1269104
Scrap Metal - Other,Production,Production,Total freshwater consumption (including rainwater),kg,101388.6422
